x,y,,Hex,Terrain,Settlement,,Author,Description,More Info URL,Themes
07,19,,0719,tundra,,,Richard G," A group of 4 humans fish through holes in the ice on small lakes. They only go out at night for fear of giant mining bugs, which they claim are watching from the mountains at Hexes [[0914]], [[1012]], [[1112]]. Apart from smoked fish and obsidian spears they have 200 meters of remarkably light, flexible, strong, bright blue rope.",,MI-GO
07,20,,0720,tundra,FROSTPELT VILLAGE,,Martin Bay Thomsen,"[[FROSTPELT VILLAGE]] - Polarbear-men village, impossible to get proper rations as they prefer to eat their food frozen in blocks of ice.",,
08,01,,0801,tundra,,,William Broom,"A longship half-buried in a mound, claimed by the men of MYTHILLI (Hex [[1009]]) to mark the edge of the sea in aeons past.",,
08,02,,0802,tundra,,,Richard G,"A tight crawlspace under an ice overhang leads into one of the 3 crocodiles in Hex 0101 of The Hexenbracken - it's pretty cramped in there, but you can drive that croc around Hexenbracken like it was your character. Any number of PCs can cohabit in the croc. A witch might be able to help you exit the croc over there.",,
08,02,,0802,tundra,,,Dak Ultimak,A large black gate spans two stone henges. Unlocking the gates (Difficult for a 5th level thief) fills a 20 ft area with a yellow mist that takes those within it to Hex [[0612]].,,
08,03,,0803,tundra,,,Richard G,Stunted remains of trees litter the frozen marsh. Some have clearly been blasted by cannon or similar.,,
08,04,,0804,forest,,,Richard G,Mixed hunting party of 7 white elves and 11 ice goblins. On discovery the ice goblins flee toward Hex [[0904]].,,"WHITE ELVES, ELVES, ICE GOBLINS, GOBLINS"
08,05,,0805,forest,,,Richard G,A very shifty looking group of 7 white elves equipped with axes and saws. Their leader claims to be Ulivan the Steward (and if the PCs have encountered Ulivan in Hex [[0308]] they will be able to tell that he looks just like him),,"WHITE ELVES, ELVES"
08,06,,0806,forest,,,Richard G,"A hive of 24 ice weasels, surrounded by thick trapping webs. Something has been done to the weasels that allows them to spin webs like giant spiders.",,
08,07,,0807,tundra,,,Richard G,"Thin, lacerating sleet causes 1 hp damage per hour to any exposed skin.",,
08,08,,0808,tundra,,,Zak Smith,"A stairway, bereft of whatever building it once belonged to, spirals 70' into the air. Candlewax and blood stain the highest step.",,
08,09,,0809,tundra,,,Richard G,"A cave contains 11 ice goblins, 2 butchered mastodons, and a motorized drilling machine. The machine weighs 1 ton and can bore a straight 4' tunnel through exactly 21 feet of rock before it runs out of juice.",,"ICE GOBLINS, MASTODONS, GOBLINS"
08,10,,0810,tundra,,,Richard G,"A 3 mile wide frozen lake. The surface is very slightly dished, so that a ball dropped anywhere on the lake will roll to the centre. The ice is thick enough to support a human, but not 3 humans tightly clustered. Under the ice lurk 12 giant anglerfish with crystal teeth worth 40gp per fish.",,
08,11,,0811,hill,,,Richard G,"Glowing stones are buried in the ice on the high tussocks of the marsh. They only emit a very dim glow, so they can only be seen at night.",,
08,12,,0812,hill,,,Jez Gordon,"Black Ice Golem. It digs trenches across paths for it to lie in, and waits, very patiently, for supper.",,
08,13,,0813,hill,,,Richard G,"One lonely hut in the middle of the marsh contains an old man, his wife, daughter and granddaughter, a dog and a large snake. They are friendly with the white elves and ice goblins but tell terrifying tales of Miner Bugs (mi-go) and yetis.",,"YETI, WHITE ELVES, ELVES, ICE GOBLINS, MI-GO, GOBLINS"
08,14,,0814,hill,,,Richard G,"A rope bridge spans the gap between the cliffs of Hex [[0715]] and Hex [[0914]]. It sags to within 20 feet of the ground in the middle of this hex. It is inhabited by squirrels and sloths, who pelt passers by with small sharp stones.",,
08,15,,0815,hill,,,Jez Gordon,"Partytime—in a narrow gully sheltered from the wind and cold, several tribes of nearby denizens have gathered to get shitfaced. Normally they'd be all sword-in-your-face, but not tonight. They have a massive bonfire and enough booze and shrooms for everyone five times over.",,
08,16,,0816,tundra,,,Ed Hackett,"A frozen pond here is home to a Sage-wraith. It will share with the PCs a glimpse of their future. These visions are always true, but painful and maddening.",,
08,17,,0817,forest,,,Reece Carter,"Ice goblin outpost, they will stop everyone who comes past and ask them questions about where they are going. Then when their guard is down they will spring into action and attack. There is also a underground passage here that the ice goblins use to get back to the mountain king",,"ICE GOBLINS, GOBLINS"
08,18,,0818,tundra,,,Richard G,"Traces of an ancient road lead away ENE. Beside the road are the ruins of an inn, now used by 9 bandits to store their prisoners before transport to the slave markets at [[MIGORFROST]] (Hex [[0615]]). 2 young women and a goatman are chained up in the basement.",,
08,19,,0819,tundra,,,Jez Gordon,"Rising out of the thick mists is a solitary dome, with a pair of gnarled trees like ruined horns. The hillock radiates an unsettling presence, as though it is a slumbering malevolence, but any attempt by fools to rouse it is met with failure.",,
08,20,,0820,tundra,,,Zak Smith,A frozen pond identical to the one in Hex [[0816]] except the visions are always exciting and false.,,
09,01,,0901,tundra,,,Simon Forster,"An outpost on the edge of the land, where depressed soldiers from a warmer climate watch for monsters intruding on their land. Will pay bounties for carcasses of said monsters.",,
09,02,,0902,tundra,,,Jez Gordon,"The mires are frequented by patrols from Hex [[0901]]; their depression, fear, and boredom has culminated in numerous acts of petty cruelty to the local flora and fauna, and has attracted the unfortunate attention of the druid in Hex [[1004]].",,
09,03,,0903,forest,,,Ben Hannigan,"At the center of a clearing of 111 feet, wherein never a drop of rain, nor flake of snow, has ever fallen, leaving the ground bone dry, there lies a smooth flat round stone exactly the size of the Cask of Ancient Winters. (hex [[0111]])  It is said that if the Cask is brought here and placed upon the stone, a rift, either to the surface of a neutron star, or to an elemental plane of cold, will be opened, thus dooming the world.  It is also said that this is the only place the Cask can safely be opened and thus rendered inert.",,CASK OF THE ANCIENT WINTERS
09,04,,0904,forest,,,Reece Carter,"Spider goblins are in this hex fighting some ice goblins, The ice goblins are looking to be winning",,"ICE GOBLINS, SPIDER GOBLINS, GOBLINS"
09,05,,0905,forest,,,Ed Hackett,"An Ettin with Lenses of Far-seeing Eyes, is watching the battle in Hex [[0904]] and the heads are taking bets against each other.",,
09,06,,0906,forest,,,Reece Carter,"The bodys of 10 ice giants are here, they are in a clearing in the forest and have been arranged in a peculiar way (a wizard/mage/cleric/magic person can figure out whats up with a successful roll). They have been place in such a way that all that is needed is a blood sacrifice to summon up a daemon from the fire plains, when this thing arrives the caster and daemon roll off and if the daemon wins it breaks free and attacks the summoner/party.",,"ICE GIANTS, GIANTS"
09,07,,0907,hill,,,Anders Nordberg,"A deep natural pit in the hillside has been filled with crushed ice and assorted bodies (goblins, humans, giant parts and many others); a small tribe of quite insane and hungry ogres are making a corpse slushie! They are found here (50%) hooting and stirring or are away (50%) gathering more ingredients (the ice giant bodies in [[0906]] might be next).",,"GOBLINS, GIANTS"
09,08,,0908,hill,,,Simon Forster,A vault of ice-dwarfs lies hidden behind a monolith of ice that entombs a wizened crone wearing a purple dress. The dwarfs are enemies of the ice giants and will ally themselves with anyone who seeks to destroy them.,,DWARFS
09,09,,0909,hill,,,Andrew Crenshaw,A circular pool completely iced over. Looking down I to the ice one can see a forest with green leaves.,,
09,10,,0910,hill,,,Matt Maranda,"A frost troll coming down after eating some revelers from Hex [[0815]] is wander around here. He parleys with the party about where he can find more people like that or the fairy markers they ate. If the party refers him to Hex [[0815]], or the fey commune in Hex [[0408]] he thanks them, otherwise he attacks.",,
09,11,,0911,hill,,,Richard G,"A hot mud spring, concealed in a caldera, is popular with local wildlife, 7 white elf bathers and a peaceable bulette.",,"WHITE ELVES, ELVES"
09,12,,0912,mountain,KALDAK,,Mike Evans,"Mountain village of [[KALDAK]], home to crazy barbarians who are famed for their ability to tame and ride mammoths into battle.  Warriors are sent to Hex [[0909]] to peer into the pool for a vision quest.",,MASTODONS
09,13,,0913,mountain,KADLAK,,Reece Carter,"Mountain village of [[KADLAK]], home to crazy wizards who are feared for their wild magic, they are in a constant conflict with the barbarians of Hex [[0912]]. Anytime magic is cast in this hex roll on the wild magic table.",,
09,14,,0914,mountain,,,Reece Carter,"Small home a mountain town of ice goblins, there proximity to the wild mages of Hex [[0913]] has caused them to learn some magic spells (some do nothing others do everything). Anytime magic is cast in this hex roll on the wild magic table",,"ICE GOBLINS, GOBLINS"
09,15,,0915,hill,,,Martyn Maillardet,"Major disruption of the snow drifts here will reveal a huge block of ice, in which a galleon from a far off sea-farring culture is frozen. The crew are still inside, preserved for eternity as undead.",,UNDEAD
09,16,,0916,hill,,,Martyn Maillardet,"A pack of 15 flying snow squirrels who have developed rudimentary tool use hunt amongst the hills here. If possible, they will steal weapons and food from  travellers rather than attack outright.",,
09,17,,0917,tundra,,,Darien Mason,A tribe of frost giants tend their flock of wooly mammoths whom they feed as offerings to the ancient white dragon that migrates over on the winter solstice,,"MASTODONS, FROST GIANTS, GIANTS"
09,18,,0918,forest,,,Wayne Rossi,"This forest is the hunting ground of the dire wolves ridden by the ice goblins in Hex [[0817]]. There is a half-White Elf druid who watches this range of forests, and has a truce with the goblins in exchange for access to the wolves.",,"ICE GOBLINS, WHITE ELVES, ELVES, GOBLINS"
09,19,,0919,tundra,,,Wayne Snyder,"Pig Eater, the hill giant chieftain, has taken refuge here. He is hiding from his ex wife who has usurped his leadership of the tribe.",,"HILL GIANTS, GIANTS"
09,20,,0920,forest,,,Mike Evans,"Petrified forest of twisted and blighted trees.  Home Yelva, a legless frost witch who rides in a sack made of goblin faces, on the back of her inbred mutated ettin servant.",,GOBLINS
10,01,,1001,tundra,,,Reece Carter,The beast of aproximate knowlage can be found here,,
10,02,,1002,tundra,,,Wayne Rossi,"This is the lair of Kyth-Turan, the Dweller Beneath the Ice, a tentacular horror. Any characters near the cracks in the ice have a chance of being dragged into its maw in the icy marsh below.",,KYTH-TURAN
10,03,,1003,forest,,,Steven Goodman,"Peaceful Forest Grove with a large hill in the center; upon which is a Silver-leaved Tree. By the light of a full moon; icy, silver-blue Werebears play games and will invite Chaotics to join in. The winner gets his Hearts Desire.",,"LYCANTHROPES, WEREBEARS"
10,04,,1004,forest,,,Jez Gordon,"The hidden abode of a Frost Druid. He has always regretted his calling, and mets out punishment for those who have transgressed against nature with vindictive delight. A favourite is turning the water in one's blood into ice.",,
10,05,,1005,forest,,,Alex Mayo,"An impoverished warrior is hanging from a bare tree by a noose looped around his foot. If rescued, he'll lead the party on a crazy wild goose chase around neighboring hexes looking for something he calls a 'grebbin'.",,GREBBIN
10,06,,1006,hill,,,Mike Evans,An ornately carved well filled with a golden liquid that when drunk cures diseases and heals frostbite.  A wood nymph guards the well.,,
10,07,,1007,mountain,,,Ramanan Sivaranjan,A pack of mountain lions. They are led by the immortal familiar of a long dead sorcerer.,,
10,08,,1008,hill,MISTRA,,Ramanan Sivaranjan,The trading outpost [[MISTRA]] traffics in the crystals mined from the neighbouring mountains.,,
10,09,,1009,mountain,MYTHILLI,,Ramanan Sivaranjan,"The majestic city of [[MYTHILLI]] crests the highests crags of Mount Dashanthra, its ruler the villainous Ice Queen Setra. The massive crystal castle at the centre of the city reaches up into the sky, and can be seen at a great distance.",,
10,10,,1010,mountain,,,Steven Goodman,"Within the bowels of Mt. Mudo; a dormant volcano, there is an Ethereal Elevator. It is protected by three fallen Paladins of Mitra and their followers.",,VOLCANO
10,11,,1011,mountain,,,Vincent Quigley,"One the mountain peak here is really a stone gargantuan sitting down. His innards are infested by rock goblins. He tries to petition any one who can communicate with him to get rid of the goblins for him, offering his heartgem (worth 1200GP) as a reward.",,"ROCK GOBLINS, GOBLINS"
10,12,,1012,mountain,,,Wayne Rossi,The copper mines in these mountains sustains the economy of [[MYTHILLI]] in Hex [[1009]]. There have been rumors of unknown creatures in the deepest shafts of the mines.,,
10,12,,1012,mountain,,,Richard G,"There is also a pod of 3 mi-go camped right at the peak of Mt. Uru, the tallest and southernmost peak in this hex. They are in regular communication with 10 more mi-go who would normally camp in Hex [[1111]] but have recently been chased to Hex [[1113]].",,MI-GO
10,13,,1013,hill,,,Wayne Snyder,BUGBEAR BROTHEL!,,
10,14,,1014,hill,,,Sam Mameli,The riding goat ranchers that dwell in this hex are having trouble with the Goat Men of the mountains taking their livestock as mates. A night defending the herd will earn the adventurers mounts.,,
10,15,,1015,hill,,,Wayne Rossi,"Thorny bushes in these hills grow black berries that are often found frozen. Roll 1d6: on 1 the berry is poisonous, on 6 the berry heals 1d3 hit points.",,
10,16,,1016,tundra,,,Steve Sigety,2d12 guards surround a group of workers trying to dig up a partially-buried glowing meteorite and load it onto a wagon.,,
10,17,,1017,forest,,,Matt Maranda,"A group of 3 sallow humans (Fighter, Cleric, and Thief) with low jowels and bulging eyes  are looking for a lost cairn. They each have branded on their shoulders are symbols of the Toad Gods.",,TOAD GODS
10,18,,1018,forest,,,Richard G,Giant boars are charging a group of ground sloths armed with assorted obsidian polearms. The ground sloths seem to be defending a hole in the base of a gigantic tree.,,
10,19,,1019,forest,,,Richard G,A pair of Penanggalan roam through the woods between 10 and 20 feet off the ground. They are stampeding giant boars in all directions. They are in fact corpse-puppets operated by 6 spider elves high up in the forest canopy.,,"SPIDER-ELVES, ELVES, UNDEAD, PENANGGALAN"
10,20,,1020,forest,,,Wayne Rossi,a circle of trees have faces carved into them representing several sylvan deities. There is a 25% chance that there are 2d6 human pilgrims visiting this shrine.,,
11,01,,1101,tundra,,,Matt Maranda,The terrain here becomes a thick brackish morass. While the ground water is liquid the air is freezing giving the plants a coat of hoary frost.,,
11,02,,1102,tundra,,,Richard G,Large blocks of ice like giant ice cubes litter the plain. Each hour there is a 1 in 6 chance of encountering one that's actually a crystal ooze.,,
11,03,,1103,hill,ZAOTHANOSH,,Wayne Rossi,"These hills contain [[ZAOTHANOSH]], a village of degenerate humans. They worship Kyth-Turan in Hex [[1002]] and offer it human sacrifices.",,KYTH-TURAN
11,04,,1104,forest,,,Joey Lindsey,"A frozen corpse on his frozen horse; he has a signet ring and a partially (50%) correct map of the area 0107-0513 and the underground complex beneath 0107-0206 with an X marked with ""Left GS Spr for ritual."" Another note says ""sldrs grd stayed in tower, afraid"" see Hex [[0512]].",,
11,05,,1105,forest,,,Steven Goodman,Twisted Tree Forest; home to the cavernous lair of the dreaded Grebbin (see Hex [[1005]]). Grabbing a Grebbin brings great luck for d6 days.,,GREBBIN
11,06,,1106,hill,,,Matt Maranda,A starving group of dwarfs are setting up a surface colony. They are willing to trade a map of caverns between vaults for under earth travel for food. They refuse to discuss why they are refugees but might be coaxed into revealing where their vault used to be in Hex [[1107]].,,DWARFS
11,07,,1107,hill,,,Matt Maranda,High in these mountains there is a cracked open and abandoned Dwarf vault. Many areas are burned and charred while others have walls are rent and torn; as if by great a clawed beast. The dwarfs of Hex [[1106]] are refugees from this disaster.,,DWARFS
11,08,,1108,mountain,,,George E. Williams IV,"A dwarven charnel it is never a pretty thing, even less so when it is a full mile across. The reek is visible in the air and smells of carrion and marmalade. Take 1 pt of damage every hour that you are within 80 feet of ti.",,DWARFS
11,09,,1109,mountain,,,Steven Goodman,High in his mountain tower the mad Arch Magus Xzu Seton is building a titanic heat beam to melt Setra's (Ice Queen) heart (Hex [[1009]]).,,
11,10,,1110,mountain,GRIZT NAS,,Joey Lindsey,[[GRIZT NAS]] A city of Dwarves in the mountain who often steal from Xzu Seton (Hex [[1109]]) have buildups of metal under their skin and sleepwalk to a cave at night none of them remember.,,DWARFS
11,10,,1110,mountain,AARTZT,,Joey Lindsey,"At the base of the mountain is the settlement of [[AARTZT]], miners who are plagued by Slaadi reavers.",,DWARFS
11,11,,1111,hill,,,Matt Maranda,"At the top of a low hill is an empty Keep with chapel bathed in long dried blood at its center. Inscribed in the middle of the chapel on the floor is a broken warding circle a thumb sized stone of cat's eye is in the middle of the circle, no blood is on it.",,
11,12,,1112,mountain,MAGMAMAUS,,Steven Goodman,"[[MAGMAMAUS]] an incredible underground citystate inside an active Volcano. Ruled by Largous the Titan (Titan!). The cyclopidian amber-stone walls & tunnel protect the lesser inhabitants. The population is 70% fire dwellers; Fire Giants, Elementals & Salamanders, etc... Largous has a long brewing hatred of [[MYTHILLI]] & its Icy Queen and is planing an invasion to sack it!",,"FIRE GIANTS, GIANTS, VOLCANO"
11,13,,1113,hill,,,Richard G,"A group of 10 mi-go are hiding in a collapsible alloy shelter underground. They have mysterious blinking equipment, 4 braincases and a small periscope they use to look out for intruders. They were recently chased from [[1111]] by an irate pyromancer and his anthracite elemental, who is now stalking around the hills setting fire to stuff randomly in thwarted irritation.",,MI-GO
11,14,,1114,tundra,,,Joey Lindsey,A vast plain of muddy slush and ice has a cluster of six 4ft long pink stalks every 50 ft or so. These are the tongues of Frost Toads that will leap to the surface and try to eat anything touching them. Goat-Men ( [[1014]] ) and Ice Goblins ( [[0415]] ) lure enemies here.,,"ICE GOBLINS, GOBLINS"
11,15,,1115,hill,,,Alex Williamson,Blue flowers with star shaped blooms grow on a lone hillside here; 1D12 per season. Arcane casters who smoke or drink tea made from the blooms can memorize an extra 1st level spell per day.,,
11,16,,1116,tundra,,,Richard G,"One tall featureless tree trunk rises out of the blasted tundra. It ends in a burning, splintered mess. The smouldering remains of a wizard's tower are scattered across the plain - unlabeled lozenges, shattered lab equipment and at least 2 unmarked scrolls await diligent searchers, along with a homunculus-sized fire elemental.",,
11,17,,1117,tundra,,,Steve Sigety,A caravan bound for [[MISTRA]] (Hex [[1008]]) loaded with trade goods from southern civilizations is stopped here to repair a broken wheel on one of the wagons.,,
11,18,,1118,forest,,,Ed Hackett,"A narrow stream the colour of blood is frozen here. in the stream, a Wendigo (flesh-eating demon spirit) is imprisoned. it's attempts to escape can be heard throughout the forest here - profoundly loud cracking ice sounds. the sound of it causes terror in horses and pack animals. they will bolt.",,
11,19,,1119,hill,,,Joey Lindsey,"Strange scrubs of twisting vines exude a strange warmth and the smell of copper and sulphur. When making contact with the vines, one can communicate with the demon who the plant's roots have grown into and whose blood courses through the vines.",,
11,20,,1120,forest,,,Steven Goodman,"A herd of ten score and twenty reigndeer (220+) ( named for their crown like horns ) roam this lightly forested glen. The Old Buck Stag has silver stars on it's brow & heart, a red broken arrow is still lodged in it's flank. The hunter of [[AGALLOCH]] ( Hex [[1219]] ) gave up trying to track the stag, but longs to see it once again.",,
12,01,,1201,tundra,,,Brian Green,"Site of an ancient battle, glints of ancient metal are visible under the murk of the tundra.  Disturbing remains summons 1d4 hostile will-o'-wisps.",,
12,02,,1202,tundra,,,Matt Maranda,"8 Batrachian Beasts (toad monsters) guard this area, mostly surrounding the sunken remains of a stone statue. On the base of the statue are weird runes that even magic cannot translate.",,TOAD GODS
12,02,,1202,tundra,,,Ed Hackett,"Two very young girls huddle together in a broken down cart. The cart is very old and bears the marks and ravages of many winters. They mutter and cry about the cold, reaching out for aid. It's so cold. I can't get warm. They are wights. They will attempt to steal the warmth (or levels) from any living thing that approaches.",,"UNDEAD, WIGHTS"
12,03,,1203,hill,,,James Smith,"A 20' tall Obelisk, stands in the center of the hex. 3/day it summons an Air Elemental, which will run amok for 8 hours.",,
12,04,,1204,hill,,,Justin Kowalski,"An abandoned encampment, tents still standing.  In the center, the embers of a nearly-dead campfire slowly burn out. If the players sift through the remains of the fire, they will find a still-hot metal coin with strange markings. If the adventurers search the tents, they find a different body part in each (hand, foot, ear, etc.).",,
12,05,,1205,hill,,,Steve Sigety,"A great horned owl sits on a tree stump. It answers the first three questions that it hears, then flies away to the southwest.",,
12,06,,1206,hill,,,Harald Wagener,"These hills have recently been cleared of all trees, only cleanly cut stumps remain. The wood was used by the dwarves in [[1106]]. An insane shepherd treeman is flailing around trying to exact revenge on the killers of his tree, which he assumes anyone with an axe may be.",,DWARFS
12,06,,1206,hill,,,James Stuart,"The overgrown, ancient and ossified remains of a gargantuan giant lie in a valley here, almost indistinguishable from the surrounding hills. A group of 18 Boggarts lives in the valley, tunneling into the stone bones for unknown reasons.",,GIANTS
12,07,,1207,hill,,,Joey Lindsey,"The shortest way through this area is over the hills, but psychic white giant lizards ambush any descending the hill and accuse them of real and imaginary crimes. Depending on their judgement, one might be killed, or has a chance of ending up in [[0107]], [[0607]], [[1607]], [[2007]], or this hex. They usually prefer Trial By Theater.",,
12,08,,1208,hill,,,Matt Maranda,A pack 2d6 of snow panthers prowl these hills.,,
12,09,,1209,hill,CAMP BOON,,Harald Wagener,"[[CAMP BOON]], the winter grazing grounds of a local tribe of centaurs.",,CENTAURS
12,09,,1209,hill,,,Zak Smith,"Half of a mystic formula that wizards can memorize (as a spell) to cast a spell one level higher once per week is carved into standing stones here along with a damaged map showing graves near [[0519]] [[RAVENSGATE]], [[0415]] [[THE HALL OF THE MOUNTAIN KING]], and [[0117]] [[NIXELSTRATH]]. Each contains a similar set of standing stones nearby with half of a formula: The correct second half is at Nixelstrath, the one at Ravensgate will cause the wizard to imitate the nearest evil potentate for one day, and the one in the Hall of the Mountain King will summon the largest creatures in ten hexes to destroy the wizard, while, secretly, stitching the one at Ravensgate and the Hall together will cause the wizard to gain 25% of the xp necessary to level up (it will take a day of work to get the formula to fit).",,
12,10,,1210,hill,,,Barry Blatt,"A rowboat lying upturned on the windswept hillside, a hole in its weathered planking. Underneath lies a   complete human skeleton and some scattered bones with toothmarks.",,
12,11,,1211,hill,,,Barry Blatt,At the edge of the forest is a gate formed from two oaks intertwined hung with wooden bells that clump and clatter. The clappers are tiny pixie skeletons.,,
12,12,,1212,hill,,,,Empty,,
12,13,,1213,tundra,CAMP HEINOUS,,Harald Wagener,"[[CAMP HEINOUS]], the summer grazing grounds of the centaurs spending their winters in [[1209]]. Turns to swamp in autumn due to flooding from the heavy rainfalls and swollen rivers flowing from [[1112]]",,CENTAURS
12,14,,1214,tundra,,,Justin Kowalski,"What appear to be blades of grass frozen in the tundra turn out to be razor-sharp ice needles of various heights.  As players walk through the region, a strange noise (likened to both a scream and broken glass) can be heard in the distance, but never from the same location.",,
12,15,,1215,tundra,,,Bennet Akkerman,"Stable-house of Raloph the centaur mask-maker, some of his masks are made of the faces of exotic creatures and have strange properties. Players can buy masks by paying with heads of the strange and powerful.",,CENTAURS
12,16,,1216,tundra,,,Alexei McDonald,"Thorek Gudwine and his idiot brother Jedek have a hut here, where they distill a potent gin from the psychoactive lichen that abounds here. It is of great use for navigating the Astral Plane, if one can actually keep the vile stuff down.",,
12,17,,1217,forest,,,Harald Wagener,"In these dark woods dwells Threlax, an wolf headed shaman experimenting with shrink head potions. She has a warband of 17 wolfman warriors that scour the adjacent hexes for more test subjects.",,
12,18,,1218,hill,,,Barry Blatt,"A woolly mammoth wanders across the hills, with bloodshot eyes and bad attitude. It has a huge saddle on its back.",,MASTODONS
12,19,,1219,hill,AGALLOCH,,Zak Smith,"[[AGALLOCH]] This mostly human settlement contains a completely shattered Monument to the Toad Gods, a handful of fascinating dancers, and a hunter who keeps notes on where frost giants have been seen ( around Hexes [[0201]], [[0202]], [[0314]], [[0316]], [[0511]], [[0516]], [[0714]], [[0906]], [[0907]], [[0917]], [[0919]], [[1112]] ) .",,"TOAD GODS, FROST GIANTS, GIANTS"
12,20,,1220,hill,,,Harald Wagener,"A travelling band of flagellants, led by a cardinal of light, in search of a demonic plant. They are seriously outgunned by the demon plant in [[1119]] should they ever make it there. The cardinal knows and will offer a band of able travellers a chest full of gold and jewels should they assist him to fight this abomination.",,
13,01,,1301,tundra,,,Alex Williamson,"Shaxtric, a half-elven F/MU in cobalt plate mail maintains a base camp of human workers and spearmen here around a giant draconic footprint. He is using it as a mould to make a silver model to present as a gift to the Ice Queen in [[1009]].",,
13,02,,1302,tundra,,,Stuart Marshall,"The Steaming Hives: 3,432 hexagonal stone columns, 20ft across and 20ft tall, are clustered together like a city.  Their entrances are 5ft high.  The interiors are magically warmed to 20 degrees centigrade, and steam in the cold air.  50% chance of meeting travellers, bandits and/or adventurers among the hives.",,
13,03,,1303,hill,,,Joey Lindsey,"An assassin sits idly staring in field of flowers - he has been tricked into eating the hallucinogenic blooms by Strikorx, a gleeful gremlin who will try to do the same to you. If cured, The assassin has a 50% chance to think he is supposed to assassinate someone in the party.",,
13,04,,1304,hill,,,Ramanan Sivaranjan,A stray dog. On her collars are the initials S.S.,,
13,05,,1305,hill,,,Matt Maranda,"Cairn cut into a hill has several runes carved into the walls; on the lintel is are sigils of the Toad Gods. Buried with the lord of this cairn is a glass eye, anyone who looks through it or replaces an eye with it can read these writings and more. (Like the runes on the statue buried in [[1202]]) They are also cursed to insanity and will not be able to convey any meaningful information.",,TOAD GODS
13,06,,1306,hill,,,Bennet Akkerman,A tribe of ice goblins have domesticated glyptodonts and are secretly planning to overthrow the Ice Goblin King in [[0415]]. At the moment they are looking for co-conspirators and have a pair of unruly and wild glyptodont warmounts (2/6 chance to go berserk in battle) as a gift to the King.,,"ICE GOBLINS, GOBLINS"
13,07,,1307,forest,,,Harald Wagener,Mammoth burial grounds. The hills are actually giant frozen dire mammoth carcasses. Raiders have long stolen most of the tusks available here. Try to steal more and face the wrath of 1d6 war mammoth haunts. 1 in 10 chance of encountering a dying mammoth migrating here per month.,,"MASTODONS, UNDEAD, HAUNTS"
13,08,,1308,forest,,,Mike Evans," Wispy trees with clumps of heavy mineral deposits line the fields.  Geysers erupt constantly, creating a dense layer of minerals and mist that clouds the air.",,
13,09,,1309,hill,VILSTRAJK,,Zak Smith,"The tall palace of [[VILSTRAJK]] inhabited by Thogs (hand-centaurs) and walking anemones is hidden among the strange hills by illusions—vaguely visible in waxing moonlinght. Beneath it sleeps Nidhoggr, Malice Striker, Eater of the Dead, a great polar wyrm.",,
13,10,,1310,hill,,,Justin Kowalski,"The hills are spotted with large patches of bare earth, as if a great battle had taken place and upturned the soil.  These spots are littered with broken weapons, scales and the occasional piece of armor.  At the far southern edge of this area, countless large burial mounds fill the landscape.  At night, hundreds of skeletal warriors and wights endlessly replay their last great battle, mistaking camping players for their enemies.  The mounds appear normal in the daylight, but are obviously disturbed by nightfall.",,"UNDEAD, SKELETONS, WIGHTS"
13,11,,1311,hill,,,Harald Wagener,"The gate in [[1211]] leads to the realm of the frost pixies. Here, fur makes you freeze, ice makes you feel warm, shoes cause frostbite, and water makes you thirsty. A small tribe of neanderthals, aptly named Snow Eaters, hunts the pixies and binds their carcasses to the oaken gate. (12 families of naked neanderthals, each accompanied by 1d3 burly snow apes).",,
13,12,,1312,tundra,,,Zak Smith,"The warband of Gibberlick Hackbile ( a deformed plague wizard so corpulent he is carried about by crow-headed men), dwells beneath a bridge. Their number includes diseased flagellants, hypnotic-eyed goblins and 3-eyed children that are invisible at noon and midnight.",,GOBLINS
13,13,,1313,tundra,,,Richard G,"Flagellants are attracted to a fane at the bottom of an open pit deep in the marsh: 3 stone pillars bearing manacles and rusty hooks. The pit and surroundings are infested with 1d1000 flagellates - miserable, hopping strips of skin and sprays of blood somehow animated in this place. If more that 100 flagellates are present they coagulate into a flagelemental with HP equal to the d1000 roll and 2 bludgeon attacks, worth 2d10 each.",,
13,14,,1314,tundra,TOWER OF THE MOON PRINCESS,,Harald Wagener,"[[TOWER OF THE MOON PRINCESS]] - a ruinous tower, it's windows barred, the star gazing cupola filled with quartz sand. In it's shadow is a small village of three-eyed mutants. The families worry about their children, which have been abducted by Gibberlick Hackbile (see: [[1312]]) in pied-piper style, but they absolutely refuse to move beyond eyeshot of the tower.",,
13,15,,1315,tundra,ANNIX VER,,Joey Lindsey,"Stone monoliths spaced a mile apart contain the sprawl of [[ANNIX VER]] within the stone monoliths time cycles through a century every phase of the moon. At the start of the month, the women from [[1316]] are alive and well here; mid-month a young, handsome, innocent Gibberlick Hackbile [[1312]] can be found holding court in the pub.﻿",,
13,16,,1316,tundra,,,Lee Reynoldson,"A frozen lake. Visible beneath the surface: the entire female population of a previously unkown, and long extinct, humanoid species.",,
13,17,,1317,forest,,,Bennet Akkerman,"Fortified mansion of Nentil the Uncaring; ice medusa, whose gaze turns creatures into ice, can teach MU's the spells Flesh to Ice, Blood to slush and their reversal spells. Breeds jellyfish (whose poison turns blood into slush) in highly alcoholic ponds and has a great mask collection from the maskmaker in [[1215]], has made sculptures for the Ice Queen in [[1009]].",,
